,Naissance,Source,Mots,MotsPercents
0,-300,PerseusDL/canonical-latinLit,233258,0.033467893804598685
1,-250,lascivaroma/additional-texts,19788,0.0044601018331316055
2,-200,PerseusDL/canonical-latinLit,72943,0.010465872886627004
4,-150,PerseusDL/canonical-latinLit,1389787,0.19940685304260428
5,-150,lascivaroma/additional-texts,129879,0.02927398251391246
6,-100,PerseusDL/canonical-latinLit,1161490,0.1666507642829113
7,-100,lascivaroma/additional-texts,39216,0.008839061728728979
8,-100,lascivaroma/digiliblt,3713,0.0013842437790116133
10,-50,PerseusDL/canonical-latinLit,779943,0.111906341894555
11,-50,lascivaroma/additional-texts,92235,0.02078924057908296
13,0,OpenGreekAndLatin/csel-dev,2090,0.00029362357766420897
14,0,PerseusDL/canonical-latinLit,1720456,0.24685129214639853
15,0,lascivaroma/additional-texts,216995,0.04890942982011283
16,0,lascivaroma/digiliblt,249,9.282970669913594e-05
18,50,PerseusDL/canonical-latinLit,351785,0.050474166039538824
19,50,lascivaroma/additional-texts,121257,0.02733063310996761
20,100,OpenGreekAndLatin/csel-dev,286528,0.04025424711051219
21,100,PerseusDL/canonical-latinLit,668190,0.09587200422405574
22,100,lascivaroma/additional-texts,51549,0.011618849272089202
23,100,lascivaroma/digiliblt,10339,0.0038544832833829978
24,150,OpenGreekAndLatin/csel-dev,5803,0.0008152620197059353
25,150,lascivaroma/additional-texts,96275,0.021699833433633783
26,200,OpenGreekAndLatin/csel-dev,314554,0.04419161284621416
27,200,PerseusDL/canonical-latinLit,13978,0.0020055655951807887
28,200,lascivaroma/additional-texts,23917,0.005390754777795058
29,200,lascivaroma/digiliblt,143391,0.05345760832648916
30,250,OpenGreekAndLatin/csel-dev,279866,0.039318304395488765
31,250,lascivaroma/additional-texts,5010,0.001129225297351392
32,250,lascivaroma/digiliblt,219518,0.08183852030193142
33,300,OpenGreekAndLatin/csel-dev,1502054,0.21102319106451473
34,300,PerseusDL/canonical-latinLit,334286,0.04796340682147697
35,300,lascivaroma/additional-texts,1346236,0.3034338817175945
36,300,lascivaroma/digiliblt,1206197,0.4496823844633641
37,350,OpenGreekAndLatin/csel-dev,3713787,0.5217490074750382
38,350,PerseusDL/canonical-latinLit,199901,0.028681826301490545
39,350,lascivaroma/additional-texts,583701,0.13156286133519057
40,350,lascivaroma/digiliblt,564070,0.21029097452924342
41,400,OpenGreekAndLatin/csel-dev,377958,0.05309922496019574
42,400,lascivaroma/additional-texts,21580,0.004864008366635337
43,400,lascivaroma/digiliblt,244060,0.09098802496783581
44,450,OpenGreekAndLatin/csel-dev,574646,0.0807318729236493
45,450,PerseusDL/canonical-latinLit,43588,0.006254012960562327
46,450,lascivaroma/additional-texts,1430321,0.32238615898861084
47,450,lascivaroma/digiliblt,45868,0.017100052156128382
48,500,OpenGreekAndLatin/csel-dev,18119,0.0025455337816735896
49,500,lascivaroma/additional-texts,8910,0.002008262953972236
50,500,lascivaroma/digiliblt,166877,0.062213425561573124
51,550,OpenGreekAndLatin/csel-dev,13898,0.0019525265465919505
52,550,lascivaroma/additional-texts,206477,0.04653873287848769
53,550,lascivaroma/digiliblt,242,9.022003622968231e-05
54,600,OpenGreekAndLatin/csel-dev,24177,0.00339662068764956
55,600,lascivaroma/digiliblt,52170,0.01944950119877077
56,650,OpenGreekAndLatin/csel-dev,4477,0.000628972611101753
57,700,lascivaroma/additional-texts,43324,0.009764981393702936
58,800,lascivaroma/digiliblt,25637,0.009557731689340354
